recency,ARPC
0,28.571428571428573
1,30.294117647058822
2,29.583333333333332
3,28.58974358974359
4,27.647058823529413
5,27.923076923076923
6,27.857142857142858
7,29.320987654320987
8,29.731182795698924
9,31.10091743119266
10,30.826446280991735
11,29.9609375
12,29.398496240601503
13,29.683098591549296
14,30.133333333333333
15,30.091463414634145
16,30.0
17,29.657894736842106
18,30.27777777777778
19,30.54726368159204
20,30.552995391705068
21,30.513392857142858
22,30.213675213675213
23,29.979591836734695
24,30.03968253968254
25,30.09433962264151
26,30.28880866425993
27,30.158450704225352
28,30.204778156996586
29,30.367892976588628
30,30.553745928338763
31,30.302547770700638
32,30.454545454545453
33,30.43343653250774
34,30.30674846625767
35,30.227272727272727
36,30.240963855421686
37,30.31437125748503
38,30.461309523809526
39,30.414201183431953
40,30.32069970845481
41,30.276162790697676
42,30.231884057971016
43,30.260115606936417
45,30.158045977011493
46,30.357142857142858
47,30.441595441595442
48,30.3943661971831
49,30.47486033519553
50,30.484764542936286
52,30.441988950276244
53,30.44077134986226
54,30.563186813186814
55,30.561643835616437
56,30.546448087431695
58,30.59620596205962
59,30.68918918918919
60,30.68733153638814
62,30.666666666666668
63,30.65159574468085
64,30.676392572944298
66,30.63157894736842
67,30.74607329842932
68,30.744125326370757
69,30.682989690721648
70,30.653846153846153
71,30.601023017902815
72,30.61868686868687
73,30.551378446115287
74,30.6
75,30.59850374064838
76,30.64516129032258
77,30.717821782178216
78,30.666666666666668
79,30.4278728606357
80,30.425790754257907
81,30.375302663438255
82,30.289156626506024
83,30.28846153846154
84,30.381861575179
85,30.260663507109005
86,30.20094562647754
87,30.152941176470588
88,30.19859813084112
89,30.17401392111369
91,30.13888888888889
93,30.12672811059908
94,30.149425287356323
95,30.240274599542335
98,30.182648401826484
99,30.102272727272727
100,30.04524886877828
102,30.11261261261261
103,30.089887640449437
105,29.988814317673377
106,29.933184855233854
107,29.91130820399113
108,29.933774834437084
109,29.781181619256017
110,29.684782608695652
111,29.642857142857142
112,29.602150537634408
113,29.616204690831555
115,29.556025369978858
116,29.620253164556964
117,29.57894736842105
119,29.65553235908142
120,29.708333333333332
121,29.751552795031056
122,29.731404958677686
123,29.763374485596707
124,29.764344262295083
125,29.725050916496944
126,29.69574036511156
127,29.676113360323885
128,29.557344064386317
129,29.629258517034067
130,29.59163346613546
131,29.603960396039604
132,29.664694280078894
133,29.636542239685657
134,29.598039215686274
135,29.5703125
136,29.466019417475728
137,29.556840077071293
138,29.502868068833653
139,29.552380952380954
141,29.505703422053234
142,29.488636363636363
143,29.519774011299436
144,29.44859813084112
145,29.440298507462686
146,29.5
147,29.475138121546962
148,29.53382084095064
149,29.472727272727273
151,29.456521739130434
152,29.44846292947559
155,29.44043321299639
157,29.46043165467626
158,29.43548387096774
159,29.40071556350626
160,29.366071428571427
161,29.325044404973358
162,29.302120141342755
163,29.27689594356261
165,29.234154929577464
166,29.19298245614035
167,29.134615384615383
169,29.15505226480836
170,29.121739130434783
171,29.150779896013866
173,29.112068965517242
175,29.159519725557463
176,29.126712328767123
177,29.136752136752136
178,29.17235494880546
179,29.165247018739354
180,29.108658743633278
182,29.054054054054053
183,29.09090909090909
184,29.07718120805369
185,29.078726968174205
186,29.07190635451505
187,29.040066777963272
188,29.033333333333335
189,29.024793388429753
190,28.978583196046127
191,28.94736842105263
192,28.90983606557377
193,28.78048780487805
194,28.72977346278317
195,28.733870967741936
197,28.681672025723472
199,28.69983948635634
200,28.664
201,28.63418530351438
202,28.636363636363637
204,28.61464968152866
205,28.585055643879173
206,28.57936507936508
207,28.503937007874015
208,28.524332810047095
209,28.495297805642632
211,28.44773790951638
212,28.43944099378882
213,28.40030911901082
214,28.37962962962963
215,28.410138248847925
216,28.34351145038168
218,28.282674772036476
220,28.28787878787879
222,28.27534039334342
224,28.270392749244714
225,28.293233082706767
227,28.28078078078078
228,28.228699551569505
230,28.263785394932935
231,28.288690476190474
232,28.291233283803862
233,28.28635014836795
234,28.254437869822485
237,28.27433628318584
238,28.24264705882353
239,28.218475073313783
240,28.221083455344072
241,28.158660844250363
243,28.134978229317852
244,28.09971098265896
246,28.08080808080808
247,28.038793103448278
248,28.012912482065996
249,27.957142857142856
250,27.905982905982906
251,27.869318181818183
253,27.858156028368793
255,27.814710042432814
256,27.799717912552893
257,27.745786516853933
258,27.720897615708274
259,27.703081232493
260,27.678321678321677
261,27.68854748603352
262,27.64951321279555
263,27.625
264,27.600554785020805
266,27.569252077562325
267,27.558782849239282
268,27.53793103448276
270,27.486263736263737
271,27.469135802469136
272,27.41450068399453
273,27.418032786885245
274,27.407912687585267
275,27.391008174386922
276,27.367346938775512
277,27.33062330623306
278,27.277027027027028
279,27.246963562753038
282,27.213997308209958
284,27.16778523489933
285,27.138069705093834
286,27.105614973262032
287,27.08
288,27.03851261620186
289,27.03580901856764
291,27.01058201058201
292,26.972295514511874
293,26.93421052631579
294,26.887287024901703
296,26.891361256544503
297,26.875816993464053
298,26.83833116036506
299,26.809895833333332
301,26.7987012987013
304,26.7769130998703
305,26.75518134715026
307,26.718346253229974
308,26.690322580645162
311,26.662371134020617
313,26.625964010282775
314,26.576923076923077
315,26.568501920614597
316,26.553708439897697
318,26.471337579617835
319,26.463104325699746
320,26.40684410646388
322,26.371681415929203
325,26.357323232323232
327,26.33669609079445
333,26.32241813602015
335,26.29559748427673
338,26.275125628140703
342,26.25470514429109
343,26.228070175438596
347,26.18125
348,26.154806491885143
349,26.128428927680797
353,26.082089552238806
355,26.062111801242235
356,26.042183622828784
357,26.022304832713754
359,25.996287128712872
364,25.976514215080346
